item_index,image_word,condition,expected_rating
36,mangoes,congruent,1.9375
36,headphones,incongruent,1.0
36,mangoes,incongruent,1.0
37,park,congruent,5.0
37,playroom,congruent,5.0
37,park,incongruent,1.890625
37,playroom,incongruent,2.0
38,backyard,congruent,5.0
38,bedroom,congruent,4.90625
38,backyard,incongruent,1.0
38,bedroom,incongruent,1.9921875
39,excitedly,congruent,4.1875
39,solemnly,congruent,4.5
39,excitedly,incongruent,1.8125
39,solemnly,incongruent,2.0
40,car,congruent,3.984375
40,sock,congruent,2.65625
40,car,incongruent,1.7734375
40,sock,incongruent,1.0078125
41,naked,congruent,3.78125
41,overdressed,congruent,4.625
41,naked,incongruent,1.0
41,overdressed,incongruent,1.0234375
42,lively,congruent,5.0
42,shy,congruent,4.21875
42,lively,incongruent,1.96875
42,shy,incongruent,1.0078125
43,flattered,congruent,4.03125
43,offended,congruent,4.0625
43,flattered,incongruent,1.0
43,offended,incongruent,1.0078125
44,cellmate,congruent,4.0
44,grandkid,congruent,4.96875
44,cellmate,incongruent,1.0234375
44,grandkid,incongruent,1.0390625
45,fired,congruent,5.0
45,promoted,congruent,5.0
45,fired,incongruent,1.0
45,promoted,incongruent,1.0
46,celebration,congruent,4.78125
46,shooting,congruent,4.9375
46,celebration,incongruent,1.3203125
46,shooting,incongruent,1.0
47,beer,congruent,4.15625
47,crayon,congruent,4.0
47,beer,incongruent,1.0
47,crayon,incongruent,1.0
48,taxi,congruent,4.5
48,waiter,congruent,4.03125
48,taxi,incongruent,1.3203125
48,waiter,incongruent,1.9765625
49,keys,congruent,4.0
49,parents,congruent,4.0
49,keys,incongruent,1.96875
49,parents,incongruent,2.40625
50,sky,congruent,4.6875
50,sofa,congruent,4.96875
50,sky,incongruent,2.109375
50,sofa,incongruent,2.0
51,homework,congruent,4.0
51,obesity,congruent,3.09375
51,homework,incongruent,1.0
51,obesity,incongruent,1.0
52,commute,congruent,5.0
52,quiz,congruent,5.0
52,commute,incongruent,2.796875
52,quiz,incongruent,2.015625
53,excitement,congruent,5.0
53,migraine,congruent,5.0
53,excitement,incongruent,1.0
53,migraine,incongruent,1.0
54,husband,congruent,5.0
54,niece,congruent,4.1875
54,husband,incongruent,1.96875
54,niece,incongruent,1.0
55,film,congruent,4.21875
55,sunrise,congruent,4.0625
55,film,incongruent,1.0
55,sunrise,incongruent,1.0
56,banquet,congruent,4.875
56,lecture,congruent,4.0
56,banquet,incongruent,1.0
56,lecture,incongruent,1.0234375
57,drink,congruent,4.1875
57,textbook,congruent,4.5625
57,drink,incongruent,1.0
57,textbook,incongruent,1.0
58,pool,congruent,5.0
58,snow,congruent,4.15625
58,pool,incongruent,1.0
58,snow,incongruent,1.9921875
59,passport,congruent,4.1875
59,plushy,congruent,5.0
59,passport,incongruent,1.03125
59,plushy,incongruent,1.0078125
60,father,congruent,5.0
60,sister,congruent,5.0
60,father,incongruent,1.21875
60,sister,incongruent,1.0
61,game,congruent,4.875
61,sunset,congruent,5.0
61,game,incongruent,2.203125
61,sunset,incongruent,1.3828125
62,funeral,congruent,3.765625
62,holidays,congruent,3.109375
62,funeral,incongruent,2.03125
62,holidays,incongruent,1.046875
63,affair,congruent,5.0
63,grades,congruent,4.96875
63,affair,incongruent,2.0
63,grades,incongruent,1.0
64,arrest,congruent,2.109375
64,stroke,congruent,3.09375
64,arrest,incongruent,1.7109375
64,stroke,incongruent,1.4453125
65,coffee,congruent,5.0
65,pacifier,congruent,2.28125
65,coffee,incongruent,1.0
65,pacifier,incongruent,1.0
66,sentencing,congruent,4.78125
66,sweets,congruent,5.0
66,sentencing,incongruent,1.0
66,sweets,incongruent,1.0
67,nap,congruent,5.0
67,selfie,congruent,5.0
67,nap,incongruent,1.0
67,selfie,incongruent,1.0
68,diaper,congruent,4.0625
68,tire,congruent,5.0
68,diaper,incongruent,1.0
68,tire,incongruent,1.0
69,chemotherapy,congruent,4.375
69,golf,congruent,5.0
69,chemotherapy,incongruent,1.0
69,golf,incongruent,1.0
70,lullaby,congruent,3.796875
70,thunder,congruent,4.25
70,lullaby,incongruent,1.828125
70,thunder,incongruent,1.046875
71,pajamas,congruent,4.125
71,uniform,congruent,4.96875
71,pajamas,incongruent,1.4453125
71,uniform,incongruent,1.0
72,gown,congruent,4.6875
72,sweats,congruent,4.0625
72,gown,incongruent,1.0
72,sweats,incongruent,3.09375
73,bed,congruent,4.0
73,deadline,congruent,4.28125
73,bed,incongruent,2.15625
73,deadline,incongruent,1.0
74,jail,congruent,4.09375
74,kindergarten,congruent,4.0625
74,jail,incongruent,1.0
74,kindergarten,incongruent,1.296875
75,interrogated,congruent,5.0
75,tickled,congruent,4.5625
75,interrogated,incongruent,1.0
75,tickled,incongruent,1.0
76,sandcastle,congruent,4.9375
76,snowman,congruent,5.0
76,sandcastle,incongruent,1.0
76,snowman,incongruent,1.0
77,music,congruent,5.0
77,pizza,congruent,5.0
77,music,incongruent,1.0
77,pizza,incongruent,1.0
78,cartoon,congruent,5.0
78,playoffs,congruent,3.96875
78,cartoon,incongruent,1.0390625
78,playoffs,incongruent,1.0
79,academics,congruent,5.0
79,alcoholism,congruent,4.96875
79,academics,incongruent,1.0
79,alcoholism,incongruent,2.703125
